system:index,ADAUID,ADAUID_1,APMean,Area_km2,CCSNAME,CCSNAME_1,CCSUID,CCSUID_1,CCSUID_12,CCSUID_12_,CDNAME,CDNAME_1,CDTYPE,CDTYPE_1,CDUID,CDUID_1,CDUID_12,CDUID_12_1,CMANAME,CMANAME_1,CMAPUID,CMAPUID_1,CMATYPE,CMATYPE_1,CMAUID,CMAUID_1,CMAUID_12,CMAUID_12_,CSDNAME,CSDNAME_1,CSDTYPE,CSDTYPE_1,CSDUID,CSDUID_1,CSDUID_12,CSDUID_12_,CTNAME,CTNAME_1,CTUID,CTUID_1,CTUID_12,CTUID_12_1,DAPOP16,DAPOP16_1,DATDWEL16,DATDWEL16_,DAUID,DAUID_1,DAUID_12,DAUID_12_1,DAURDWEL16,DAURDWEL_1,ERNAME,ERNAME_1,ERUID,ERUID_1,ERUID_12,ERUID_12_1,FID_Munici,FID_gda_00,FULL_NAME,F_geo,F_geo_1,MUN_NAME,OBJECTID,OBJECTID_2,OBJECTID_3,PRNAME,PRNAME_1,PRUID,PRUID_1,PRUID_12,PRUID_12_1,REG_NAME,SACCODE,SACCODE_1,SACTYPE,SACTYPE_1,SHAPE_Ar_1,SHAPE_Ar_2,SHAPE_Le_2,SHAPE_Le_3,SHAPE_Leng,Shape_Area,Shape_Le_1,geometry,mean,mean_1,system_i_1,system_ind,.geo
0000000000000000000a,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350220.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201610,0,0,0,0.0,0.0,,,3530,0,0,0,2,24062,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.11993821575E-6,0.0387427047103,,0.3241239512765477,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350221.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201617,0,0,0,0.0,0.0,,,3530,0,0,0,2,24069,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,9.44438399001E-7,0.0269161600741,,0.33327881887620514,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350236.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201623,0,0,0,0.0,0.0,,,3530,0,0,0,2,24073,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,6.61829420197E-7,0.0150374926793,,0.32323235137233675,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350236.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201762,0,0,0,0.0,0.0,,,3530,0,0,0,2,24174,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.37702071635E-6,0.0475054686499,,0.32227118687615175,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,0,0,0.0,269.455099263,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350249.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35203042,0,0,0,0.0,0.0,,,3530,0,0,0,1,25054,City of Brampton,,,Brampton,2,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,99794.6510416,4.68475234759E-8,0.00128339884709,,0.15199052834097973,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,0,0,0.0,269.455099263,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350248.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35203047,0,0,0,0.0,0.0,,,3530,0,0,0,1,25059,City of Brampton,,,Brampton,2,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,99794.6510416,6.94925968847E-7,0.0123492883168,,0.14843343544285828,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350247.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35204479,0,0,0,0.0,0.0,,,3530,0,0,0,2,26213,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.11907307357E-7,0.00725743268993,,0.14182490078915636,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,0,0,18.65244111,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350528.14,5350528.14,0.0,0.0,0.0,0.0,0.0,0.0,35210250,35210250,0,0,0.0,0.0,,,3530,3530,0,0,2,26628,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,8.52628494145E-5,0.0455245699913,,0.08996060468205636,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4,0,0,20.27767867,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350528.33,5350528.33,0.0,0.0,0.0,0.0,0.0,0.0,35210251,35210251,0,0,0.0,0.0,,,3530,3530,0,0,2,26629,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,3.28273260218E-5,0.0254014100773,,0.10457497622600741,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,0,0,25.91291604,292.386251793,,,3521005,3521005,0,0,,,,,3521,3521,0,0,,,0,0,,,535,535,0,0,,,,,3521005,3521005,0,0,0.0,0.0,5350528.32,5350528.32,0.0,0.0,0.0,0.0,0.0,0.0,35210254,35210254,0,0,0.0,0.0,,,3530,3530,0,0,2,26632,City of Mississauga,,,Mississauga,3,0,0,,,35,35,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,2.02233028358E-4,0.0707513078974,,0.08504504506612588,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
