system:index,APMean,APMean_1,Area_km2,CCSNAME,CCSNAME_1,CCSUID,CCSUID_1,CCSUID_12,CDNAME,CDNAME_1,CDTYPE,CDTYPE_1,CDUID,CDUID_1,CDUID_12,CMANAME,CMANAME_1,CMAPUID,CMAPUID_1,CMATYPE,CMATYPE_1,CMAUID,CMAUID_1,CMAUID_12,CSDNAME,CSDNAME_1,CSDTYPE,CSDTYPE_1,CSDUID,CSDUID_1,CSDUID_12,CTNAME,CTNAME_1,CTUID,CTUID_1,CTUID_12,DAUID,DAUID_1,DAUID_12,ERNAME,ERNAME_1,ERUID,ERUID_1,ERUID_12,FID_Munici,FID_gda_00,FULL_NAME,MUN_NAME,OBJECTID,PRNAME,PRNAME_1,PRUID,PRUID_1,PRUID_12,REG_NAME,SACCODE,SACCODE_1,SACTYPE,SACTYPE_1,SHAPE_Leng,Shape_Area,Shape_Le_1,geometry,geometry_1,mean,.geo
0000000000000000048b,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0236.02,0.0,5350236.02,0.0,0.0,35201762,0,0,Toronto,,3530,0,0,2,25297,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,29598.1889782,7771.38375566,,,0.24490941007878783,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a8,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0236.02,0.0,5350236.02,0.0,0.0,35201623,0,0,Toronto,,3530,0,0,2,25497,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,10666.1991295,1983.15690441,,,0.19605219349289985,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000511,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0247.01,0.0,5350247.01,0.0,0.0,35204479,0,0,Toronto,,3530,0,0,2,26186,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,696.566907523,595.483470543,,,0.08965772661337613,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297,0.0,0.0,269.455099263,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0248.03,0.0,5350248.03,0.0,0.0,35203047,0,0,Toronto,,3530,0,0,1,28218,City of Brampton,Brampton,2,Ontario,,35,0,0,Peel,535,0,1,0,99794.6510416,13910.1140943,1725.09067451,,,0.17627440805114816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000188,0.0,0.0,269.455099263,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0249.03,0.0,5350249.03,0.0,0.0,35203042,0,0,Toronto,,3530,0,0,1,24997,City of Brampton,Brampton,2,Ontario,,35,0,0,Peel,535,0,1,0,99794.6510416,1704.81973589,201.790191002,,,0.18471926435870767,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b1,0.0,0.0,269.455099263,Vaughan,,3519028,0,0,York,,RM,,3519,0,0,Toronto,,35535,0,B,,535,0,0,Vaughan,,CY,,3519028,0,0,0412.11,0.0,5350412.11,0.0,0.0,35191271,0,0,Toronto,,3530,0,0,1,25536,City of Brampton,Brampton,2,Ontario,,35,0,0,Peel,535,0,1,0,99794.6510416,100718.453643,10204.6143961,,,0.1625205029585645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,0.0,0.0,695.99302927,Vaughan,,3519028,0,0,York,,RM,,3519,0,0,Toronto,,35535,0,B,,535,0,0,Vaughan,,CY,,3519028,0,0,0413.00,0.0,5350413.00,0.0,0.0,35190192,0,0,Toronto,,3530,0,0,0,25155,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,501.8419259,714.754129048,,,0.15428245282345807,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,0.0,0.0,695.99302927,Vaughan,,3519028,0,0,York,,RM,,3519,0,0,Toronto,,35535,0,B,,535,0,0,Vaughan,,CY,,3519028,0,0,0413.00,0.0,5350413.00,0.0,0.0,35190181,0,0,Toronto,,3530,0,0,0,27872,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,5080.76155872,5122.66545741,,,0.21658295843420464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000194,0.0,0.0,269.455099263,Vaughan,,3519028,0,0,York,,RM,,3519,0,0,Toronto,,35535,0,B,,535,0,0,Vaughan,,CY,,3519028,0,0,0413.00,0.0,5350413.00,0.0,0.0,35190192,0,0,Toronto,,3530,0,0,1,25155,City of Brampton,Brampton,2,Ontario,,35,0,0,Peel,535,0,1,0,99794.6510416,1317.16956657,3767.12141028,,,0.19299401430349744,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,0.0,0.0,695.99302927,King,,3519049,0,0,York,,RM,,3519,0,0,Toronto,,35535,0,B,,535,0,0,King,,TP,,3519049,0,0,0461.02,0.0,5350461.02,0.0,0.0,35191160,0,0,Toronto,,3530,0,0,0,24076,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,78310.2598647,7093.83927529,,,0.30645575515480783,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,0.0,0.0,695.99302927,King,,3519049,0,0,York,,RM,,3519,0,0,Toronto,,35535,0,B,,535,0,0,King,,TP,,3519049,0,0,0461.02,0.0,5350461.02,0.0,0.0,35191162,0,0,Toronto,,3530,0,0,0,27012,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,535,0,1,0,151323.106534,59488.0829293,13519.5224627,,,0.33231020529102856,"{""type"":""MultiPoint"",""coordinates"":[]}"
